Customer_ID,Count,Quarter,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,trans_ID
5882-CMAZQ,1,Q3,True,9,5,None,False,0.0,False,True,DSL,19.0,False,True,False,True,False,False,False,True,Month-to-Month,False,Bank Withdrawal,34.25,163.55,0.0,0.0,0.0,163.55,50
5846-QFDFI,1,Q3,True,6,33,Offer C,True,11.01,True,True,Fiber Optic,73.0,False,True,True,True,False,False,True,True,Month-to-Month,False,Credit Card,88.6,2888.7,0.0,0.0,363.33,3252.03,51
4445-KWOKW,1,Q3,False,0,42,Offer B,True,29.44,True,True,Cable,41.0,True,True,False,False,False,False,True,True,One Year,True,Bank Withdrawal,60.15,2421.6,0.0,0.0,1236.48,3658.08,52
3511-APPBJ,1,Q3,False,0,23,None,True,41.94,False,True,Fiber Optic,30.0,True,False,True,False,True,True,True,True,One Year,True,Credit Card,99.95,2292.75,0.0,0.0,964.62,3257.37,53
7967-HYCDE,1,Q3,False,0,8,Offer E,True,41.93,False,True,Fiber Optic,59.0,False,False,False,False,False,False,True,True,Month-to-Month,False,Bank Withdrawal,70.7,553.4,0.0,0.0,335.44,888.84,54
2430-RRYUW,1,Q3,False,0,66,Offer A,True,11.56,False,True,DSL,30.0,True,True,False,False,False,False,False,True,One Year,True,Mailed Check,54.8,3465.7,0.0,0.0,762.96,4228.66,55
5447-WZAFP,1,Q3,False,0,53,Offer B,True,8.33,False,True,Fiber Optic,73.0,False,True,True,False,True,True,True,True,One Year,True,Mailed Check,100.3,5200.8,0.0,0.0,441.49,5642.29,56
5110-CHOPY,1,Q3,False,0,60,None,False,0.0,False,True,Cable,4.0,True,False,True,False,True,True,True,True,Two Year,False,Bank Withdrawal,53.6,3237.05,0.0,0.0,0.0,3237.05,57
4425-OWHWB,1,Q3,False,0,20,None,True,10.9,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,True,Credit Card,19.35,433.75,0.0,0.0,218.0,651.75,58
7892-QVYKW,1,Q3,True,10,23,None,True,9.84,True,True,Fiber Optic,71.0,False,False,False,False,False,True,True,True,Month-to-Month,False,Bank Withdrawal,85.6,1868.4,0.0,0.0,226.32,2094.72,59
9675-ICXCT,1,Q3,True,8,72,Offer A,True,35.07,False,True,Cable,53.0,True,False,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,80.8,5728.55,0.0,0.0,2525.04,8253.59,60
4703-MQYKT,1,Q3,False,0,21,None,True,16.81,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Mailed Check,19.6,390.4,0.0,0.0,353.01,743.41,61
0602-DDUML,1,Q3,False,0,57,None,True,36.14,False,True,Cable,48.0,False,True,True,True,True,False,True,True,Two Year,False,Mailed Check,69.75,3894.4,0.0,0.0,2059.98,5954.38,62
2208-MPXIO,1,Q3,True,9,45,None,True,21.73,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,True,Bank Withdrawal,20.0,886.4,0.0,0.0,977.85,1864.25,63
1960-UYCNN,1,Q3,False,0,10,None,True,26.43,True,True,Fiber Optic,13.0,False,True,True,False,False,True,True,True,Month-to-Month,True,Bank Withdrawal,95.25,1021.55,0.0,0.0,264.3,1285.85,64
3190-FZATL,1,Q3,False,0,14,None,True,40.66,False,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,19.95,268.4,0.0,0.0,569.24,837.64,65
7336-RLLRH,1,Q3,True,3,27,Offer C,True,11.83,True,True,DSL,14.0,True,False,False,True,True,True,True,True,One Year,False,Credit Card,80.85,2204.35,0.0,0.0,319.41,2523.76,66
7710-JSYOA,1,Q3,False,0,69,Offer A,True,28.53,True,True,Fiber Optic,24.0,False,True,False,True,False,True,True,True,Two Year,True,Bank Withdrawal,93.3,6398.05,0.0,0.0,1968.57,8366.62,67
9885-MFVSU,1,Q3,True,7,35,Offer C,False,0.0,False,True,DSL,24.0,True,False,False,True,True,False,False,False,Two Year,True,Credit Card,46.35,1662.05,0.0,140.0,0.0,1802.05,68
0607-MVMGC,1,Q3,True,3,45,None,True,39.82,True,True,DSL,13.0,False,True,True,False,True,True,True,True,One Year,False,Credit Card,78.75,3600.65,0.0,0.0,1791.9,5392.55,69
3365-SAIGS,1,Q3,False,0,17,None,True,22.61,False,True,Fiber Optic,19.0,False,True,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,83.55,1329.15,0.0,0.0,384.37,1713.52,70
8022-BECSI,1,Q3,False,0,22,None,True,20.46,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,False,Credit Card,19.6,422.5,0.0,0.0,450.12,872.62,71
9993-LHIEB,1,Q3,True,5,67,Offer A,True,2.12,False,True,Cable,58.0,True,False,True,True,False,True,True,True,Two Year,False,Credit Card,67.85,4627.65,0.0,0.0,142.04,4769.69,72
0266-CLZKZ,1,Q3,True,8,67,Offer A,True,17.79,True,True,Fiber Optic,22.0,False,False,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,105.65,6717.9,0.0,0.0,1191.93,7909.83,73
3977-QCRSL,1,Q3,False,0,5,Offer E,True,3.37,False,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,20.15,117.95,0.0,0.0,16.85,134.8,74
0017-DINOC,1,Q3,False,0,54,None,False,0.0,False,True,Cable,10.0,True,False,False,True,True,False,False,True,Two Year,False,Credit Card,45.2,2460.55,0.0,0.0,0.0,2460.55,75
7639-OPLNG,1,Q3,True,8,70,Offer A,True,27.97,True,True,Cable,2.0,True,True,True,True,True,False,False,True,Two Year,True,Bank Withdrawal,79.25,5731.85,0.0,0.0,1957.9,7689.75,76
1492-QGCLU,1,Q3,True,5,53,None,True,26.84,True,True,Cable,12.0,True,False,True,True,True,True,True,True,Month-to-Month,False,Bank Withdrawal,85.7,4616.1,0.0,0.0,1422.52,6038.62,77
7328-OWMOM,1,Q3,False,0,31,Offer C,True,33.71,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,False,Credit Card,20.1,589.25,0.0,0.0,1045.01,1634.26,78
4418-LZMSV,1,Q3,True,8,13,None,True,28.15,False,True,Cable,56.0,False,True,True,True,False,False,False,True,Month-to-Month,False,Bank Withdrawal,61.8,750.1,0.0,0.0,365.95,1116.05,79
5155-AZQPB,1,Q3,True,6,28,Offer C,True,41.41,True,True,DSL,30.0,False,False,False,False,False,False,False,True,Month-to-Month,False,Credit Card,49.9,1410.25,0.0,0.0,1159.48,2569.73,80
1087-GRUYI,1,Q3,True,8,38,Offer C,True,6.97,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Bank Withdrawal,20.4,743.5,0.0,0.0,264.86,1008.36,81
2546-KZAAT,1,Q3,True,9,52,None,True,10.4,False,True,DSL,85.0,True,True,False,False,True,True,True,True,One Year,True,Credit Card,75.4,3865.45,0.0,0.0,540.8,4406.25,82
0181-RITDD,1,Q3,True,2,62,None,True,1.76,False,True,Fiber Optic,20.0,True,True,True,True,True,True,True,True,Two Year,False,Credit Card,108.15,6825.65,0.0,0.0,109.12,6934.77,83
5989-PGKJB,1,Q3,False,0,16,Offer D,True,22.3,False,True,Fiber Optic,28.0,False,True,False,False,False,True,True,True,Month-to-Month,True,Bank Withdrawal,86.25,1340.1,0.0,0.0,356.8,1696.9,84
8272-ONJLV,1,Q3,False,0,12,Offer D,True,49.0,False,True,Fiber Optic,23.0,False,False,True,False,True,True,True,True,One Year,False,Bank Withdrawal,95.7,1184.0,0.0,0.0,588.0,1772.0,85
1488-PBLJN,1,Q3,True,1,72,Offer A,True,31.83,True,True,Fiber Optic,14.0,True,True,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,116.85,8477.7,0.0,0.0,2291.76,10769.46,86
3778-FOAQW,1,Q3,True,1,24,Offer C,True,32.86,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,False,Credit Card,20.15,456.85,0.0,0.0,788.64,1245.49,87
4452-ROHMO,1,Q3,False,0,15,Offer D,True,39.49,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,19.6,331.6,0.0,0.0,592.35,923.95,88
3090-LETTY,1,Q3,False,0,2,None,True,14.88,True,True,DSL,12.0,True,True,False,False,False,False,False,True,Month-to-Month,False,Bank Withdrawal,60.95,134.6,0.0,0.0,29.76,164.36,89
5349-AZPEW,1,Q3,True,3,5,Offer E,False,0.0,False,True,DSL,53.0,False,False,False,False,False,False,False,True,Month-to-Month,False,Credit Card,25.05,125.5,0.0,0.0,0.0,125.5,90
9720-JJJOR,1,Q3,True,8,41,None,True,2.43,False,True,DSL,69.0,True,True,True,False,False,False,True,True,One Year,True,Bank Withdrawal,60.3,2511.3,0.0,0.0,99.63,2610.93,91
8100-HZZLJ,1,Q3,False,0,43,None,True,5.6,False,True,Cable,30.0,True,True,False,False,False,True,True,True,Month-to-Month,True,Bank Withdrawal,63.95,2737.05,0.0,0.0,240.8,2977.85,92
7398-HPYZQ,1,Q3,True,2,71,Offer A,True,28.58,True,True,Cable,30.0,True,True,True,True,True,True,True,True,Two Year,False,Bank Withdrawal,90.55,6404.0,0.0,0.0,2029.18,8433.18,93
3546-GHEAE,1,Q3,False,0,7,None,True,9.43,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,19.45,165.35,0.0,0.0,66.01,231.36,94
2550-QHZGP,1,Q3,False,0,7,Offer E,True,30.58,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,False,Credit Card,19.5,128.6,0.0,0.0,214.06,342.66,95
7519-JTWQH,1,Q3,False,0,69,Offer A,True,23.92,True,True,Fiber Optic,42.0,False,True,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,110.5,7455.45,0.0,0.0,1650.48,9105.93,96
2538-OIMXF,1,Q3,False,0,1,Offer E,False,0.0,False,True,Cable,48.0,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,24.7,24.7,0.0,70.0,0.0,94.7,97
8543-MSDMF,1,Q3,False,0,3,Offer E,True,44.42,False,True,Cable,6.0,True,False,True,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,77.4,206.15,0.0,0.0,133.26,339.41,98
1170-SASML,1,Q3,True,6,69,Offer A,True,34.49,True,True,Fiber Optic,29.0,False,True,True,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,85.4,5869.4,0.0,0.0,2379.81,8249.21,99
4872-JCVCA,1,Q3,True,1,71,Offer A,False,0.0,False,True,DSL,16.0,True,True,True,True,False,False,False,True,Two Year,True,Bank Withdrawal,47.6,3377.8,0.0,0.0,0.0,3377.8,100
5346-BZCHP,1,Q3,False,0,69,Offer A,True,25.18,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,19.4,1346.2,0.0,0.0,1737.42,3083.62,101
2038-LLMLM,1,Q3,False,0,48,None,True,10.5,True,True,Fiber Optic,12.0,False,False,True,True,True,True,True,True,Month-to-Month,True,Bank Withdrawal,103.85,4946.05,0.0,0.0,504.0,5450.05,102
1216-BGTSP,1,Q3,False,0,45,None,True,5.97,True,True,Fiber Optic,73.0,True,False,True,True,True,True,True,True,Month-to-Month,True,Credit Card,108.45,4964.7,0.0,0.0,268.65,5233.35,103
4138-NAXED,1,Q3,False,0,51,None,True,42.93,True,True,Fiber Optic,11.0,False,True,False,False,False,False,False,False,Month-to-Month,False,Bank Withdrawal,81.0,4085.75,0.0,10.0,2189.43,6285.18,104
0744-BIKKF,1,Q3,False,0,72,Offer A,True,11.41,True,True,DSL,17.0,True,True,True,True,True,True,True,True,Two Year,False,Bank Withdrawal,86.65,6224.8,0.0,0.0,821.52,7046.32,105
7483-IQWIB,1,Q3,True,1,37,Offer C,True,38.89,True,True,Fiber Optic,29.0,False,True,True,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,92.95,3415.25,0.0,0.0,1438.93,4854.18,106
5248-KWLAR,1,Q3,True,1,71,Offer A,True,18.42,True,True,DSL,29.0,True,True,True,True,True,True,True,True,Two Year,False,Bank Withdrawal,90.35,6325.25,0.0,0.0,1307.82,7633.07,107
7996-MHXLW,1,Q3,False,0,66,Offer A,True,20.77,True,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,True,Credit Card,25.15,1683.6,0.0,0.0,1370.82,3054.42,108
7833-PKIHD,1,Q3,True,1,51,None,True,31.66,False,True,Cable,3.0,True,False,False,True,True,True,True,True,One Year,True,Bank Withdrawal,76.4,3966.3,0.0,0.0,1614.66,5580.96,109
7061-OVMIM,1,Q3,True,1,30,None,True,21.14,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,False,Bank Withdrawal,19.55,608.5,0.0,0.0,634.2,1242.7,110
5153-RTHKF,1,Q3,False,0,34,None,True,23.54,True,True,Fiber Optic,76.0,False,False,False,False,True,False,False,False,Month-to-Month,False,Bank Withdrawal,85.35,2896.6,0.0,0.0,800.36,3696.96,111
1852-QSWCD,1,Q3,True,1,64,None,True,35.25,True,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,True,Credit Card,24.8,1514.85,0.0,0.0,2256.0,3770.85,112
9079-LWTFD,1,Q3,False,0,47,None,True,47.73,True,True,Fiber Optic,25.0,True,True,False,True,True,False,False,True,Month-to-Month,False,Credit Card,100.75,4669.2,0.0,0.0,2243.31,6912.51,113
3392-EHMNK,1,Q3,True,1,67,Offer A,True,11.4,True,True,Fiber Optic,27.0,False,True,False,True,True,False,False,True,Two Year,False,Credit Card,94.1,6302.8,0.0,0.0,763.8,7066.6,114
5986-WWXDV,1,Q3,False,0,39,None,True,48.61,False,False,None,0.0,False,False,False,False,False,False,False,False,One Year,False,Bank Withdrawal,19.35,779.2,0.0,0.0,1895.79,2674.99,115
3061-BCKYI,1,Q3,False,0,14,Offer D,True,43.5,False,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,19.9,283.75,0.0,0.0,609.0,892.75,116
7228-PAQPD,1,Q3,False,0,14,Offer D,True,34.01,False,True,Cable,69.0,False,False,False,True,False,True,True,True,One Year,False,Credit Card,59.1,772.85,0.0,0.0,476.14,1248.99,117
7746-QYVCO,1,Q3,True,1,16,Offer D,True,21.04,False,True,Cable,17.0,True,True,False,False,False,False,False,True,One Year,True,Credit Card,55.85,857.8,0.0,0.0,336.64,1194.44,118
5804-HYIEZ,1,Q3,True,1,70,Offer A,True,40.28,True,True,Fiber Optic,13.0,True,True,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,106.05,7554.05,0.0,0.0,2819.6,10373.65,119
5934-TSSAU,1,Q3,True,6,23,Offer D,True,48.73,False,True,Fiber Optic,75.0,False,False,True,False,False,False,False,True,Month-to-Month,True,Credit Card,75.3,1702.9,0.0,0.0,1120.79,2823.69,120
3486-KHMLI,1,Q3,False,0,21,Offer D,True,31.26,True,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,24.7,467.15,0.0,0.0,656.46,1123.61,121
6784-XYJAE,1,Q3,False,0,36,None,True,46.92,True,True,DSL,5.0,False,False,True,False,False,False,False,False,One Year,False,Bank Withdrawal,55.8,1941.5,0.0,70.0,1689.12,3700.62,122
3933-DQPWX,1,Q3,False,0,50,None,False,0.0,False,True,DSL,6.0,False,True,True,True,False,False,False,True,Two Year,False,Credit Card,39.7,1932.75,0.0,0.0,0.0,1932.75,123
6661-EIPZC,1,Q3,True,6,48,None,False,0.0,False,True,DSL,16.0,False,False,False,True,False,False,False,True,Month-to-Month,True,Credit Card,29.5,1423.05,0.0,0.0,0.0,1423.05,124
8957-THMOA,1,Q3,False,0,50,None,True,18.95,False,False,None,0.0,False,False,False,False,False,False,False,False,Two Year,False,Credit Card,20.15,970.85,0.0,0.0,947.5,1918.35,125
2251-PYLPB,1,Q3,True,3,72,Offer A,True,45.05,True,True,Cable,9.0,True,True,True,True,False,True,True,True,Two Year,False,Credit Card,79.55,5810.9,0.0,0.0,3243.6,9054.5,126
5555-RNPGT,1,Q3,False,0,10,Offer D,True,34.47,True,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,24.8,223.9,0.0,0.0,344.7,568.6,127
1057-FOGLZ,1,Q3,False,0,18,Offer D,True,18.2,False,False,None,0.0,False,False,False,False,False,False,False,False,Month-to-Month,False,Credit Card,19.65,391.7,0.0,0.0,327.6,719.3,128
8087-LGYHQ,1,Q3,False,0,9,Offer E,True,15.53,False,True,Fiber Optic,14.0,False,False,True,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,94.05,811.65,0.0,0.0,139.77,951.42,129
4137-BTIKL,1,Q3,False,0,2,Offer E,True,27.17,True,True,Fiber Optic,23.0,True,False,False,False,False,True,True,True,Month-to-Month,False,Credit Card,90.75,174.75,0.0,0.0,54.34,229.09,130
